network,poolId,contractName,contractAddress
baseSepolia,1,poolConfig,0xaFFd1DAd2930A1060849AEac611d80Fc0b475cC1
baseSepolia,1,juniorTranche,0x2074aD5c2FAC45C30d1BD1819232762921653065
baseSepolia,1,poolSafe,0x25c19737663B7c34c2203e52A6583456309754Bc
baseSepolia,1,seniorTranche,0x06ee659DEdE8E56beaa1d2fAF5562F2BF690998C
baseSepolia,1,creditManager,0x0Fb60e17b03F92bDE5c7C93C6fD4DafD92380272
baseSepolia,2,poolConfig,0x5C7428De5dcDD6A26AfB3A027Bd446dd3fBc908b
baseSepolia,2,juniorTranche,0x110115a72b5aF51f76c55749385bA92Ab78678AF
baseSepolia,2,poolSafe,0x819cDcfA03F28A690116Bf8F51aAA2f28469bA09
baseSepolia,2,seniorTranche,0x8a19553e061A03aF8d557F61c0fEf016155EE737
baseSepolia,2,creditManager,0xe34DAFcbAF408fc9e0966747bdeD7d254F0fA953
baseSepolia,3,poolConfig,0x9421647c3491d6d19b7233ad59A54413197fd2e1
baseSepolia,3,juniorTranche,0xf5783e47534D4a988C46FDdD4b6952A97157aE5C
baseSepolia,3,poolSafe,0x4B357A8d21DB9feDF44eEF071Edaf629B4f34a37
baseSepolia,3,seniorTranche,0x21eFCabdB6bbaFFcF21ab98CC1ea6FafB866647f
baseSepolia,3,creditManager,0x935f872FE84dDC3c9f26f40abC9b9cB032E08367
