network,poolId,contractName,contractAddress
scroll,1,poolConfig,0xebf8D31C5492Dc93FC73a6AD136d47c45AB2C7a5
scroll,1,juniorTranche,0x483D02C11f8F1E31C267040A6C86AaB80c428BaB
scroll,1,poolSafe,0x7F4f55fAeE753D8dbB3E5F04861dB38E9DB70c3D
scroll,1,seniorTranche,0x4cdCedcF50266aD9ed809048BC9874320EC902bC
scroll,1,creditManager,0x061411d05074Bc974f814AC86309D2204f4c265d
scroll,1,credit,0xc6F10af4746784a0DD095f4E5718d53ff94eB4a0
scroll,2,poolConfig,0xE9D7893B52BE6D81C540f2E81f3A65FAbF8A0fa4
scroll,2,juniorTranche,0x8413a7345cD8bF8Afe8c2EfE866a764A93B305e2
scroll,2,poolSafe,0xD6C357c40731a1F57173231eeeAb004eD8baE9b6
scroll,2,seniorTranche,0xDe5eD603A376B93817b9656AF6E373218fD9b2bd
scroll,2,creditManager,0xbC015F64b023d8B351484342d35dA0AF0d42a9de
scroll,2,credit,0x2e3A03C8Bd31300C2c027C9C9d1b762677F6FaA6
